Date,Open,High,Low,Close,Volume,Dividends,Stock Splits
2014-12-19,75.66218996882534,77.70868737483697,74.89596515522013,77.60199737548828,1291500,0.0,0
2014-12-22,77.22372226074857,77.22372226074857,73.5283847538449,74.38190460205078,685700,0.0,0
2014-12-23,74.69228998552569,75.5167066944617,73.8775669862656,74.25582885742188,618600,0.0,0
2014-12-24,73.79997092916665,74.22673093636057,73.21803017376105,73.47020721435547,330800,0.0,0
2014-12-26,73.54780870839068,75.08995223578712,73.4702146265675,74.03276062011719,328300,0.0,0
2014-12-29,74.1103443762224,75.7882736131358,73.62539253206373,75.5845947265625,648700,0.0,0
2014-12-30,74.80867311261746,75.38092016947608,73.67388750805668,73.99395751953125,983000,0.0,0
2014-12-31,74.47891979181325,75.37122958497068,73.13075399134428,73.74179077148438,676700,0.0,0
2015-01-02,74.5661854900637,76.0307419859414,73.47019709500843,74.74076843261719,470600,0.0,0
2015-01-05,73.31499585362968,73.7417557257044,70.15311603711054,70.76415252685547,1052700,0.0,0
2015-01-06,70.97754006252158,71.19092002140573,68.9116482238078,69.5517807006836,986500,0.0,0
2015-01-07,70.43440295475905,71.71467542637892,69.87185708395313,70.6089859008789,664600,0.0,0
2015-01-08,71.05512385288868,73.8969410587649,70.97752980636548,73.2665023803711,1102100,0.0,0
2015-01-09,73.65447905249894,73.65447905249894,71.93774559954181,72.74276733398438,541100,0.0,0
2015-01-12,72.38391399925901,72.38391399925901,69.21233200139496,70.55079650878906,712400,0.0,0
2015-01-13,71.40432359544585,72.15114629875623,68.3588261199874,69.2705307006836,908600,0.0,0
2015-01-14,67.98056078475126,69.5421066554039,67.47621401276075,69.17354583740234,1126700,0.0,0
2015-01-15,69.65846549138968,70.75445372610214,67.93203853414613,68.08721923828125,734400,0.0,0
2015-01-16,67.74776869167358,71.14243147765356,67.74776869167358,71.09394073486328,710300,0.0,0
2015-01-20,71.10364756887509,71.35582463717891,68.63039723669432,69.93976593017578,474400,0.0,0
2015-01-21,69.85246295784957,71.59829262124255,69.85246295784957,71.52069854736328,583900,0.0,0
2015-01-22,71.8601808502149,71.94747605450742,68.51401514786104,68.88257598876953,1247200,0.0,0
2015-01-23,68.73708902698301,70.10464961781547,68.62069790019292,69.33842468261719,833100,0.0,0
2015-01-26,69.81366093740951,70.45379343392392,68.78555814031537,70.33740234375,763800,0.0,0
2015-01-27,69.12505622156526,70.92907829001874,68.69830348478838,70.25984954833984,737500,0.0,0
2015-01-28,70.69627063560486,71.22972055909328,67.42769294030953,67.69927215576172,680200,0.0,0
2015-01-29,68.05815910266003,69.26084534099716,66.47721831165521,68.88257598876953,984700,0.0,0
2015-01-30,68.18425110998201,70.14345384644216,67.57320688145508,69.0765609741211,779700,0.0,0
2015-02-02,69.83309088949949,71.89898383105951,69.38693591901247,71.69530487060547,949200,0.0,0
2015-02-03,72.4905882655028,75.27421407992355,72.2578134886179,74.38190460205078,1442700,0.0,0
2015-02-04,74.49829587775652,76.47690018222765,72.6263815651768,74.6631851196289,1340700,0.0,0
2015-02-05,74.67289657343946,75.16754961705115,72.81068292661567,74.0424575805664,1040900,0.0,0
2015-02-06,74.95415429618973,76.3217220202753,74.10064173207483,76.27322387695312,1280200,0.0,0
2015-02-09,76.37020409455923,76.93274993421622,75.71066937904544,76.205322265625,908200,0.0,0
2015-02-10,76.80667086754487,77.3110174995049,74.6825795488122,75.50699615478516,617700,0.0,0
2015-02-11,75.33240904620558,75.54578901710018,74.09093365166657,74.58558654785156,721100,0.0,0
2015-02-12,75.38091656862433,77.03945100370512,75.04145175438757,76.77758026123047,556200,0.0,0
2015-02-13,77.54381195529743,79.28964189266227,77.4759189799432,79.11505889892578,884100,0.0,0
2015-02-17,78.95017791496028,79.68730694132853,77.98997513836467,79.09566497802734,700600,0.0,0
2015-02-18,78.65917960617034,79.39630840591873,77.92205080642194,79.22172546386719,567100,0.0,0
2015-02-19,78.145139008337,79.14413861230177,77.96085494166387,78.76587677001953,355800,0.0,0
2015-02-20,78.68826786532219,78.95984705966498,77.59227958017178,78.00933837890625,383900,0.0,0
2015-02-23,77.52442474590431,77.56322179274188,75.81739168395156,77.35954284667969,553200,0.0,0
2015-02-24,77.505032275911,78.53312814909579,77.37894001991495,78.0384750366211,305200,0.0,0
