,Unnamed: 0,Unnamed: 0.1,name,period,last_extract
466,,,MOH,2000d,12-29-2021
467,,,FORR,2000d,12-29-2021
468,,,RAD,2000d,12-29-2021
469,,,EXTR,2000d,12-29-2021
470,,,SCHW,2000d,12-29-2021
471,,,INGR,2000d,12-29-2021
472,,,TRU,2000d,12-29-2021
473,,,NUE,2000d,12-29-2021
474,,,CFMS,2000d,12-29-2021
475,,,ENS,2000d,12-29-2021
476,,,MMLP,2000d,12-29-2021
477,,,SSTK,2000d,12-29-2021
478,,,GGG,2000d,12-29-2021
479,,,GEOS,2000d,12-29-2021
480,,,MAIN,2000d,12-29-2021
481,,,DCI,2000d,12-29-2021
482,,,CORT,2000d,12-29-2021
483,,,VRTV,2000d,12-29-2021
484,,,SHW,2000d,12-29-2021
485,,,FSM,2000d,12-29-2021
486,,,RRC,2000d,12-29-2021
487,,,FWRD,2000d,12-29-2021
488,,,HMTV,2000d,12-29-2021
489,,,SMCI,2000d,12-29-2021
490,,,BAC,2000d,12-29-2021
491,,,VSH,2000d,12-29-2021
492,,,AMN,2000d,12-29-2021
493,,,CCMP,2000d,12-29-2021
494,,,NXPI,2000d,12-29-2021
495,,,ASAN,2000d,12-29-2021
496,,,DISCA,2000d,12-29-2021
497,,,MSI,2000d,12-29-2021
498,,,AXS,2000d,12-29-2021
499,,,EBAY,2000d,12-29-2021
500,,,EOG,2000d,12-29-2021
501,,,RACE,2000d,12-29-2021
502,,,GDOT,2000d,12-29-2021
503,,,MU,2000d,12-29-2021
504,,,BWAY,2000d,12-29-2021
505,,,LGIH,2000d,12-29-2021
506,,,ZBH,2000d,12-29-2021
507,,,CHNG,2000d,12-29-2021
508,,,NJR,2000d,12-29-2021
509,,,CNO,2000d,12-29-2021
510,,,EPD,2000d,12-29-2021
511,,,TREX,2000d,12-29-2021
512,,,GOOGL,2000d,12-29-2021
513,,,FCFS,2000d,12-29-2021
514,,,TAP,2000d,12-29-2021
515,,,MD,2000d,12-29-2021
516,,,GLYC,2000d,12-29-2021
517,,,PNTG,2000d,12-29-2021
518,,,LYV,2000d,12-29-2021
519,,,LXU,2000d,12-29-2021
520,,,MPC,2000d,12-29-2021
521,,,CLVS,2000d,12-29-2021
522,,,AIMC,2000d,12-29-2021
523,,,BRBR,2000d,12-29-2021
524,,,SLAB,2000d,12-29-2021
525,,,TUFN,2000d,12-29-2021
526,,,GTE,2000d,12-29-2021
527,,,VICR,2000d,12-29-2021
528,,,ROCK,2000d,12-29-2021
529,,,KAMN,2000d,12-29-2021
530,,,PINS,2000d,12-29-2021
531,,,BIIB,2000d,12-29-2021
532,,,MDU,2000d,12-29-2021
533,,,MSTR,2000d,12-29-2021
534,,,CHTR,2000d,12-29-2021
535,,,TISI,2000d,12-29-2021
536,,,ESI,2000d,12-29-2021
537,,,TWI,2000d,12-29-2021
538,,,FLO,2000d,12-29-2021
539,,,CCO,2000d,12-29-2021
540,,,SDC,2000d,12-29-2021
541,,,SAGE,2000d,12-29-2021
542,,,LOPE,2000d,12-29-2021
543,,,POOL,2000d,12-29-2021
544,,,IDA,2000d,12-29-2021
545,,,ARVN,2000d,12-29-2021
546,,,GRPN,2000d,12-29-2021
547,,,JMIA,2000d,12-29-2021
548,,,MTOR,2000d,12-29-2021
549,,,SCSC,2000d,12-29-2021
550,,,NOG,2000d,12-29-2021
551,,,CEQP,2000d,12-29-2021
552,,,OLLI,2000d,12-29-2021
553,,,SGMO,2000d,12-29-2021
554,,,TBNK,2000d,12-29-2021
555,,,CHS,2000d,12-29-2021
556,,,VRNT,2000d,12-29-2021
557,,,IBM,2000d,12-29-2021
558,,,MMP,2000d,12-29-2021
559,,,CL,2000d,12-29-2021
560,,,PNNT,2000d,12-29-2021
561,,,MRNA,2000d,12-29-2021
562,,,TTM,2000d,12-29-2021
563,,,SPSC,2000d,12-29-2021
564,,,HCSG,2000d,12-29-2021
565,,,NGS,2000d,12-29-2021
566,,,GMS,2000d,12-29-2021
567,,,YNDX,2000d,12-29-2021
568,,,GPS,2000d,12-29-2021
569,,,BCC,2000d,12-29-2021
570,,,ACB,2000d,12-29-2021
571,,,BSX,2000d,12-29-2021
572,,,TVTX,2000d,12-29-2021
573,,,AAN,2000d,12-29-2021
574,,,ZTS,2000d,12-29-2021
575,,,WHR,2000d,12-29-2021
576,,,ETH,2000d,12-29-2021
577,,,EZPW,2000d,12-29-2021
578,,,HLT,2000d,12-29-2021
579,,,BIG,2000d,12-29-2021
580,,,DAL,2000d,12-29-2021
581,,,CF,2000d,12-29-2021
582,,,ATUS,2000d,12-29-2021
583,,,LGND,2000d,12-29-2021
584,,,DUK,2000d,12-29-2021
585,,,APEI,2000d,12-29-2021
586,,,ASPN,2000d,12-29-2021
587,,,COO,2000d,12-29-2021
588,,,CLSK,2000d,12-29-2021
589,,,ECL,2000d,12-29-2021
590,,,WMS,2000d,12-29-2021
591,,,URI,2000d,12-29-2021
592,,,LMT,2000d,12-29-2021
