,name,link
578,REGI,https://www.estimize.com/regi
579,CDEV,https://www.estimize.com/cdev
580,CKH,https://www.estimize.com/ckh
581,TS,https://www.estimize.com/ts
582,PDCE,https://www.estimize.com/pdce
583,DNR,https://www.estimize.com/dnr
584,TK,https://www.estimize.com/tk
585,LNG,https://www.estimize.com/lng
586,MUR,https://www.estimize.com/mur
587,TNK,https://www.estimize.com/tnk
588,TRGP,https://www.estimize.com/trgp
589,GPRE,https://www.estimize.com/gpre
590,NS,https://www.estimize.com/ns
591,GEL,https://www.estimize.com/gel
592,GLOG,https://www.estimize.com/glog
593,CQP,https://www.estimize.com/cqp
594,FET,https://www.estimize.com/fet
595,OXY,https://www.estimize.com/oxy
596,EOG,https://www.estimize.com/eog
597,CLNE,https://www.estimize.com/clne
598,DK,https://www.estimize.com/dk
599,DKL,https://www.estimize.com/dkl
600,SEMG,https://www.estimize.com/semg
601,EURN,https://www.estimize.com/eurn
602,NOG,https://www.estimize.com/nog
603,CLMT,https://www.estimize.com/clmt
604,TRP,https://www.estimize.com/trp
605,BTE,https://www.estimize.com/bte
606,GLP,https://www.estimize.com/glp
607,NRP,https://www.estimize.com/nrp
608,XPRO,https://www.estimize.com/xpro
609,KOS,https://www.estimize.com/kos
610,MTRX,https://www.estimize.com/mtrx
611,NEX,https://www.estimize.com/nex
612,OAS,https://www.estimize.com/oas
613,XEC,https://www.estimize.com/xec
614,GLNG,https://www.estimize.com/glng
615,UNT,https://www.estimize.com/unt
616,PE,https://www.estimize.com/pe
617,ALTO,https://www.estimize.com/alto
618,NGL,https://www.estimize.com/ngl
619,WES,https://www.estimize.com/wes
620,SFL,https://www.estimize.com/sfl
621,ASC,https://www.estimize.com/asc
622,TRMD,https://www.estimize.com/trmd
623,HPR,https://www.estimize.com/hpr
624,SPH,https://www.estimize.com/sph
625,STNG,https://www.estimize.com/stng
626,RNET,https://www.estimize.com/rnet
627,NGS,https://www.estimize.com/ngs
628,TCP,https://www.estimize.com/tcp
629,CRRT,https://www.estimize.com/crrt
630,AXAS,https://www.estimize.com/axas
631,AREX,https://www.estimize.com/arex
632,HP,https://www.estimize.com/hp
633,GEOS,https://www.estimize.com/geos
634,NAT,https://www.estimize.com/nat
635,FGP,https://www.estimize.com/fgp
636,GPOR,https://www.estimize.com/gpor
637,JPM,https://www.estimize.com/jpm
638,BLK,https://www.estimize.com/blk
639,BAC,https://www.estimize.com/bac
640,WFC,https://www.estimize.com/wfc
641,C,https://www.estimize.com/c
642,MS,https://www.estimize.com/ms
643,USB,https://www.estimize.com/usb
644,STI,https://www.estimize.com/sti
645,ETFC,https://www.estimize.com/etfc
646,GS,https://www.estimize.com/gs
647,PNC,https://www.estimize.com/pnc
648,TFC,https://www.estimize.com/tfc
649,SCHW,https://www.estimize.com/schw
650,FLY,https://www.estimize.com/fly
651,STT,https://www.estimize.com/stt
652,BK,https://www.estimize.com/bk
653,SYF,https://www.estimize.com/syf
654,TRV,https://www.estimize.com/trv
655,IBKR,https://www.estimize.com/ibkr
656,NDAQ,https://www.estimize.com/ndaq
657,NTRS,https://www.estimize.com/ntrs
658,CMA,https://www.estimize.com/cma
659,CTBI,https://www.estimize.com/ctbi
660,BOKF,https://www.estimize.com/bokf
661,FCFS,https://www.estimize.com/fcfs
662,LM,https://www.estimize.com/lm
663,CFG,https://www.estimize.com/cfg
664,MKTX,https://www.estimize.com/mktx
665,DFS,https://www.estimize.com/dfs
666,SEIC,https://www.estimize.com/seic
667,GL,https://www.estimize.com/gl
668,SLM,https://www.estimize.com/slm
669,CNS,https://www.estimize.com/cns
670,RLI,https://www.estimize.com/rli
671,ALLY,https://www.estimize.com/ally
672,HOMB,https://www.estimize.com/homb
673,MMC,https://www.estimize.com/mmc
674,BX,https://www.estimize.com/bx
675,STBA,https://www.estimize.com/stba
676,FAF,https://www.estimize.com/faf
677,CHCO,https://www.estimize.com/chco
678,SIVB,https://www.estimize.com/sivb
679,WRB,https://www.estimize.com/wrb
680,AXP,https://www.estimize.com/axp
681,LKFN,https://www.estimize.com/lkfn
682,PRK,https://www.estimize.com/prk
683,AMTD,https://www.estimize.com/amtd
684,BRO,https://www.estimize.com/bro
685,RNR,https://www.estimize.com/rnr
686,SPGI,https://www.estimize.com/spgi
687,MSCI,https://www.estimize.com/msci
688,CIT,https://www.estimize.com/cit
689,WRLD,https://www.estimize.com/wrld
690,IVZ,https://www.estimize.com/ivz
691,COF,https://www.estimize.com/cof
692,AMP,https://www.estimize.com/amp
693,NAVI,https://www.estimize.com/navi
694,CB,https://www.estimize.com/cb
695,PFG,https://www.estimize.com/pfg
696,APAM,https://www.estimize.com/apam
697,HOOD,https://www.estimize.com/hood
698,CME,https://www.estimize.com/cme
699,CLGX,https://www.estimize.com/clgx
700,EVR,https://www.estimize.com/evr
701,SF,https://www.estimize.com/sf
702,LC,https://www.estimize.com/lc
703,AFL,https://www.estimize.com/afl
704,RJF,https://www.estimize.com/rjf
705,MC,https://www.estimize.com/mc
706,AMSF,https://www.estimize.com/amsf
707,CNO,https://www.estimize.com/cno
708,AXS,https://www.estimize.com/axs
709,THG,https://www.estimize.com/thg
