,ticker,companyshortname,startdatetime,startdatetimetype,epsestimate,epsactual,epssurprisepct,timeZoneShortName,gmtOffsetMilliSeconds,quoteType
83,UNF,UniFirst Corp,2022-01-05T13:30:00.000Z,BMO,1.95,,,EST,-18000000,EQUITY
84,SAR,Saratoga Investment Corp,2022-01-05T21:00:00.000Z,AMC,0.54,,,EST,-18000000,EQUITY
85,NTIC,Northern Technologies International Corp,2022-01-05T13:30:00.000Z,BMO,0.18,,,EST,-18000000,EQUITY
86,RGP,Resources Connection Inc,2022-01-05T21:00:00.000Z,AMC,0.33,,,EST,-18000000,EQUITY
87,SMPL,Simply Good Foods Co,2022-01-05T13:30:00.000Z,BMO,0.35,,,EST,-18000000,EQUITY
88,RPM,RPM International Inc,2022-01-05T13:30:00.000Z,BMO,0.83,,,EST,-18000000,EQUITY
89,NIU,NIU Technologies,2022-01-05T13:30:00.000Z,BMO,,,,EST,-18000000,EQUITY
90,WDFC,WD-40 Co,2022-01-06T21:00:00.000Z,AMC,1.25,,,EST,-18000000,EQUITY
91,WBA,Walgreens Boots Alliance Inc,2022-01-06T07:00:00.000Z,TAS,1.33,,,EST,-18000000,EQUITY
92,ANGO,AngioDynamics Inc,2022-01-06T13:30:00.000Z,BMO,0.0,,,EST,-18000000,EQUITY
93,CAG,Conagra Brands Inc,2022-01-06T07:30:00.000Z,TAS,0.68,,,EST,-18000000,EQUITY
94,BBBY,Bed Bath & Beyond Inc,2022-01-06T07:30:00.000Z,TAS,0.0,,,EST,-18000000,EQUITY
95,STZ,Constellation Brands Inc,2022-01-06T13:30:00.000Z,BMO,2.82,,,EST,-18000000,EQUITY
96,EDUC,Educational Development Corp,2022-01-06T21:00:00.000Z,AMC,0.41,,,EST,-18000000,EQUITY
97,LNN,Lindsay Corp,2022-01-06T13:30:00.000Z,BMO,0.88,,,EST,-18000000,EQUITY
98,DCT,Duck Creek Technologies Inc,2022-01-06T21:00:00.000Z,AMC,0.01,,,EST,-18000000,EQUITY
99,LEDS,SemiLEDs Corp,2022-01-06T10:59:00.000Z,TNS,,,,EST,-18000000,EQUITY
100,HURC,Hurco Companies Inc,2022-01-06T13:30:00.000Z,BMO,,,,EST,-18000000,EQUITY
101,FC,Franklin Covey Co,2022-01-06T21:00:00.000Z,AMC,0.03,,,EST,-18000000,EQUITY
102,HELE,Helen of Troy Ltd,2022-01-06T13:30:00.000Z,BMO,3.15,,,EST,-18000000,EQUITY
103,LW,Lamb Weston Holdings Inc,2022-01-06T09:30:00.000Z,TAS,0.33,,,EST,-18000000,EQUITY
104,SCHN,Schnitzer Steel Industries Inc,2022-01-06T13:30:00.000Z,BMO,1.76,,,EST,-18000000,EQUITY
105,PSMT,PriceSmart Inc,2022-01-06T21:00:00.000Z,AMC,0.93,,,EST,-18000000,EQUITY
106,SLP,Simulations Plus Inc,2022-01-06T21:00:00.000Z,AMC,0.08,,,EST,-18000000,EQUITY
107,NEA,Nuveen Amt-Free Quality Municipal Income Fund,2022-01-07T10:59:00.000Z,TNS,,,,EST,-18000000,EQUITY
108,AYI,Acuity Brands Inc,2022-01-07T06:00:00.000Z,TAS,2.42,,,EST,-18000000,EQUITY
109,NVG,Nuveen AMT-Free Municipal Credit Income Fund,2022-01-07T10:59:00.000Z,TNS,,,,EST,-18000000,EQUITY
110,INLB,Item 9 Labs Corp,2022-01-10T21:00:00.000Z,AMC,,,,EST,-18000000,EQUITY
111,AZZ,AZZ Inc,2022-01-10T13:30:00.000Z,BMO,0.82,,,EST,-18000000,EQUITY
112,ACCD,Accolade Inc,2022-01-10T21:00:00.000Z,AMC,-0.73,,,EST,-18000000,EQUITY
113,ACI,Albertsons Companies Inc,2022-01-10T13:30:00.000Z,BMO,0.58,,,EST,-18000000,EQUITY
114,BBCP,Brundage-Bone Concrete Pumping Holdings Inc,2022-01-10T21:00:00.000Z,AMC,0.1,,,EST,-18000000,EQUITY
115,VOXX,VOXX International Corp,2022-01-10T21:00:00.000Z,AMC,0.06,,,EST,-18000000,EQUITY
116,FEDU,Four Seasons Education (Cayman) Inc,2022-01-10T13:30:00.000Z,BMO,,,,EST,-18000000,EQUITY
117,SOTK,Sono-Tek Corp,2022-01-10T21:00:00.000Z,AMC,,,,EST,-18000000,EQUITY
118,CNXC,Concentrix Corp,2022-01-10T21:00:00.000Z,AMC,2.71,,,EST,-18000000,EQUITY
119,CMC,Commercial Metals Co,2022-01-10T13:30:00.000Z,BMO,1.21,,,EST,-18000000,EQUITY
120,LMNR,Limoneira Co,2022-01-10T10:59:00.000Z,TNS,-0.26,,,EST,-18000000,EQUITY
121,NXGWF,Next Green Wave Holdings Inc,2022-01-10T13:30:00.000Z,BMO,,,,EST,-18000000,EQUITY
122,OGI,OrganiGram Holdings Inc,2022-01-10T13:30:00.000Z,BMO,-0.02,,,EST,-18000000,EQUITY
123,KRUS,Kura Sushi USA Inc,2022-01-10T21:00:00.000Z,AMC,-0.15,,,EST,-18000000,EQUITY
124,REXR,Rexford Industrial Realty Inc,2022-01-10T13:30:00.000Z,BMO,0.15,,,EST,-18000000,EQUITY
125,TLRY,Tilray Inc,2022-01-10T13:30:00.000Z,BMO,-0.09,,,EST,-18000000,EQUITY
126,ATZAF,Aritzia Inc,2022-01-11T10:59:00.000Z,TNS,,,,EST,-18000000,EQUITY
127,GDDFF,Goodfood Market Corp,2022-01-11T13:30:00.000Z,BMO,,,,EST,-18000000,EQUITY
128,ENBP,ENB Financial Corp,2022-01-11T21:00:00.000Z,AMC,,,,EST,-18000000,EQUITY
129,SNX,TD Synnex Corp,2022-01-11T13:30:00.000Z,BMO,2.66,,,EST,-18000000,EQUITY
130,DSNY,Destiny Media Technologies Inc,2022-01-11T10:59:00.000Z,TNS,,,,EST,-18000000,EQUITY
131,PLG,Platinum Group Metals Ltd,2022-01-11T10:59:00.000Z,TNS,,,,EST,-18000000,EQUITY
132,OPSSF,Opsens Inc,2022-01-11T13:30:00.000Z,BMO,,,,EST,-18000000,EQUITY
133,MENXF,Memex Inc,2022-01-11T17:08:00.000Z,TAS,,,,EST,-18000000,EQUITY
134,INFO,IHS Markit Ltd,2022-01-11T13:30:00.000Z,BMO,0.83,,,EST,-18000000,EQUITY
135,VLNSF,Velan Inc,2022-01-11T21:00:00.000Z,AMC,,,,EST,-18000000,EQUITY
136,OONEF,01 Communique Laboratory Inc,2022-01-12T13:30:00.000Z,BMO,,,,EST,-18000000,EQUITY
137,ARTL,Artelo Biosciences Inc,2022-01-12T13:30:00.000Z,BMO,-0.05,,,EST,-18000000,EQUITY
138,DAL,Delta Air Lines Inc,2022-01-12T13:30:00.000Z,BMO,0.12,,,EST,-18000000,EQUITY
139,BLK,BlackRock Inc,2022-01-12T13:30:00.000Z,BMO,10.04,,,EST,-18000000,EQUITY
140,BKSC,Bank of South Carolina,2022-01-12T10:59:00.000Z,TNS,,,,EST,-18000000,EQUITY
141,FRC,First Republic Bank,2022-01-12T13:30:00.000Z,BMO,1.9,,,EST,-18000000,EQUITY
142,BRBW,Brunswick Bancorp,2022-01-12T10:59:00.000Z,TNS,,,,EST,-18000000,EQUITY
143,QEPC,QEP Co Inc,2022-01-12T13:30:00.000Z,BMO,,,,EST,-18000000,EQUITY
144,FRMO,FRMO Corp,2022-01-12T21:00:00.000Z,AMC,,,,EST,-18000000,EQUITY
145,SJR,Shaw Communications Inc,2022-01-12T13:30:00.000Z,BMO,0.29,,,EST,-18000000,EQUITY
146,PRGS,Progress Software Corp,2022-01-12T10:59:00.000Z,TNS,0.74,,,EST,-18000000,EQUITY
147,HBT,HBT Financial Inc,2022-01-12T10:59:00.000Z,TNS,0.4,,,EST,-18000000,EQUITY
148,WAFD,Washington Federal Inc,2022-01-12T21:00:00.000Z,AMC,0.69,,,EST,-18000000,EQUITY
149,RYFL,Royal Financial Inc,2022-01-12T21:00:00.000Z,AMC,,,,EST,-18000000,EQUITY
150,KBH,KB Home,2022-01-12T21:00:00.000Z,AMC,1.76,,,EST,-18000000,EQUITY
151,VOLT,Volt Information Sciences Inc,2022-01-12T21:00:00.000Z,AMC,0.07,,,EST,-18000000,EQUITY
152,OROXF,Orosur Mining Inc,2022-01-12T13:30:00.000Z,BMO,,,,EST,-18000000,EQUITY
153,LOOP,Loop Industries Inc,2022-01-12T13:30:00.000Z,BMO,-0.17,,,EST,-18000000,EQUITY
154,CNBB,Cnb Community Bancorp Inc,2022-01-13T10:59:00.000Z,TNS,,,,EST,-18000000,EQUITY
155,BMRA,Biomerica Inc,2022-01-13T10:59:00.000Z,TNS,-0.08,,,EST,-18000000,EQUITY
156,CGECF,COGECO Inc,2022-01-13T21:00:00.000Z,AMC,,,,EST,-18000000,EQUITY
157,CGEAF,Cogeco Communications Inc,2022-01-13T21:00:00.000Z,AMC,,,,EST,-18000000,EQUITY
158,CJREF,Corus Entertainment Inc,2022-01-13T13:30:00.000Z,BMO,0.28,,,EST,-18000000,EQUITY
159,JPM,JPMorgan Chase & Co,2022-01-14T13:30:00.000Z,BMO,2.96,,,EST,-18000000,EQUITY
160,C,Citigroup Inc,2022-01-14T13:30:00.000Z,BMO,1.8,,,EST,-18000000,EQUITY
161,WFC,Wells Fargo & Co,2022-01-14T13:30:00.000Z,BMO,1.09,,,EST,-18000000,EQUITY
162,NVEC,NVE Corp,2022-01-15T10:59:00.000Z,TNS,,,,EST,-18000000,EQUITY
163,FCBC,First Community Bankshares Inc,2022-01-18T03:00:00.000Z,AMC,0.68,,,EST,-18000000,EQUITY
164,BFC,Bank First Corp,2022-01-17T21:00:00.000Z,AMC,1.4,,,EST,-18000000,EQUITY
165,BILZF,Ignite International Brands Ltd,2022-01-17T10:59:00.000Z,TNS,,,,EST,-18000000,EQUITY
166,IBKR,Interactive Brokers Group Inc,2022-01-17T10:59:00.000Z,TNS,0.8,,,EST,-18000000,EQUITY
167,UCBI,United Community Banks Inc,2022-01-17T10:59:00.000Z,TNS,0.64,,,EST,-18000000,EQUITY
168,ONB,Old National Bancorp,2022-01-17T13:30:00.000Z,BMO,0.24,,,EST,-18000000,EQUITY
169,GNTY,Guaranty Bancshares Inc,2022-01-17T13:30:00.000Z,BMO,0.81,,,EST,-18000000,EQUITY
170,NCBS,Nicolet Bankshares Inc,2022-01-17T10:59:00.000Z,TNS,1.24,,,EST,-18000000,EQUITY
171,STT,State Street Corp,2022-01-17T07:30:00.000Z,TAS,1.89,,,EST,-18000000,EQUITY
172,FULT,Fulton Financial Corp,2022-01-17T10:59:00.000Z,TNS,0.37,,,EST,-18000000,EQUITY
173,CTXS,Citrix Systems Inc,2022-01-17T07:05:00.000Z,TAS,1.08,,,EST,-18000000,EQUITY
174,FNB,FNB Corp,2022-01-17T18:00:00.000Z,TAS,0.3,,,EST,-18000000,EQUITY
175,HTLD,Heartland Express Inc,2022-01-17T10:59:00.000Z,TNS,0.26,,,EST,-18000000,EQUITY
176,PETS,Petmed Express Inc,2022-01-17T08:00:00.000Z,TAS,0.33,,,EST,-18000000,EQUITY
177,HIFS,Hingham Institution For Savings,2022-01-17T10:59:00.000Z,TNS,,,,EST,-18000000,EQUITY
178,PNFP,Pinnacle Financial Partners Inc,2022-01-17T10:59:00.000Z,TNS,1.57,,,EST,-18000000,EQUITY
179,GS,Goldman Sachs Group Inc,2022-01-17T13:30:00.000Z,BMO,11.69,,,EST,-18000000,EQUITY
180,STX,Seagate Technology Holdings PLC,2022-01-17T10:59:00.000Z,TNS,2.37,,,EST,-18000000,EQUITY
181,TSRI,TSR Inc,2022-01-17T21:00:00.000Z,AMC,,,,EST,-18000000,EQUITY
182,SMBK,SmartFinancial Inc,2022-01-17T21:00:00.000Z,AMC,0.48,,,EST,-18000000,EQUITY
183,AA,Alcoa Corp,2022-01-18T10:59:00.000Z,TNS,1.77,,,EST,-18000000,EQUITY
